Règne,Embranchement,Classe,Ordre,Famille,Genre,Espèce,Nom latin,name,Image_URL,Zone,Vulnerability
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide cephalophine,cephalophus,rufilatus,cephalophus rufilatus,cephalophe a flancs roux,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide cephalophine,cephalophus,nigrifrons,cephalophus nigrifrons,cephalophe a front noir,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide cephalophine,cephalophus,leucogaster,cephalophus leucogaster,cephalophe a ventre blanc,,,Vulnerable
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide cephalophine,philantomba,monticola,philantomba monticola,cephalophe bleu,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide cephalophine,cephalophus,adersi,cephalophus adersi,cephalophe d'ader,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide cephalophine,cephalophus,natalensis,cephalophus natalensis,cephalophe du natal,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide cephalophine,cephalophus,callipygus,cephalophus callipygus,cephalophe de peter,,,Vulnerable
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide cephalophine,cephalophus,niger,cephalophus niger,cephalophe noir,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide cephalophine,cephalophus,zebra,cephalophus zebra,cephalophe zebre,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,cervide cervine,axis,axis,axis axis,cerf axis,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,cervide cervine,axis,porcinus,axis porcinus,cerf cochon,,,Endangered
animal,chorde vertebre,mammifere placentaire,carnivore caniforme,canide,canis,adustus,canis adustus,chacal a flancs rayes,,,Vulnerable
animal,chorde vertebre,mammifere placentaire,carnivore caniforme,canide,canis,aureus,canis aureus,chacal dore,,,Endangered
animal,chorde vertebre,mammifere placentaire,artiodactyle,camelide,camelus,bactrianus ferus,camelus bactrianus ferus,chameau sauvage de tartarie,,,Vulnerable
animal,chorde vertebre,oiseau,passeriforme,fringillide,carduelis,carduelis,carduelis carduelis,chardonneret elegant,,,Least Concern
animal,chorde vertebre,mammifere placentaire,chiroptere,vespertilionide,pipistrellus,pipistrellus,pipistrellus pipistrellus,chauve-souris pipistrelle commune,,,Endangered
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide caprine,oreamnos,americanus,oreamnos americanus,chevre des montagnes rocheuses,,,Endangered
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide caprine,capra,caucasica,capra caucasica,chevre du caucase occidental,,,Least Concern
animal,chorde vertebre,mammifere placentaire,carnivore caniforme,canide,canis,lupus hallstromi,canis lupus hallstromi,chien chanteur de nouvelle-guinee,,,Least Concern
animal,chorde vertebre,mammifere placentaire,carnivore caniforme,canide,speothos,venaticus,speothos venaticus,chien des buissons,,,Least Concern
animal,chorde vertebre,oiseau,passeriforme,corvide,coloeus,monedula,coloeus monedula,choucas des tours,,,Least Concern
animal,chorde vertebre,oiseau,strigiforme,strigide,athene,noctua,athene noctua,chouette cheveche d'athena,,,Aucun résultat
animal,chorde vertebre,oiseau,ciconiiforme,ciconiide,ciconia,ciconia,ciconia ciconia,cigogne blanche,,,Critically Endangered
animal,chorde vertebre,mammifere placentaire,carnivore feliforme,viverride viverrine,civettictis,civetta,civettictis civetta,civette africaine,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide reduncine,kobus,ellipsiprymnus,kobus ellipsiprymnus,cobe a croissant,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide reduncine,kobus,kob,kobus kob,cobe de buffon,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide reduncine,kobus,leche,kobus leche,cobe de lechwe,,,Endangered
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide reduncine,kobus,megaceros,kobus megaceros,obe de mrs gray,,,Endangered
animal,chorde vertebre,oiseau,apodiforme,trochilide,cynanthus,latirostris,cynanthus latirostris,colibri circe,,,Least Concern
animal,chorde vertebre,oiseau,passeriforme,corvide,corvus,frugilegus,corvus frugilegus,corbeau freux,,,Critically Endangered
animal,chorde vertebre,oiseau,passeriforme,corvide,corvus,corone,corvus corone,corneille noire,,,Critically Endangered
animal,chorde vertebre,oiseau,cuculiforme,cuculide,cuculus,canorus,cuculus canorus,coucou gris,,,Least Concern
animal,chorde vertebre,oiseau,anseriforme,anatide,cygnus,atratus,cygnus atratus,cygne noir,,,Endangered
animal,chorde vertebre,oiseau,anseriforme,anatide,cygnus,olor,cygnus olor,cygne tubercule,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,cervide cervine,dama,dama,dama dama,daim,,,Vulnerable
animal,chorde vertebre,mammifere therien,cetace odontocete,delphinide delphinine,delphinus,delphis,delphinus delphis,dauphin commun a bec court,,,Near Threatened
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide antilopine,madoqua,piacentinii,madoqua piacentinii,dik-dik argente,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide antilopine,madoqua,guentheri,madoqua guentheri,dik-dik de gunther,,,Aucun résultat
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide antilopine,madoqua,kirkii,madoqua kirkii,dik-dik de kirk,,,Least Concern
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide antilopine,madoqua,saltiana,madoqua saltiana,dik-dik de salt,,,Near Threatened
animal,chorde vertebre,mammifere placentaire,primate haplorrhinien,cercopithecide colobine,pygathrix,nemaeus,pygathrix nemaeus,douc,,,Least Concern
animal,chorde vertebre,mammifere placentaire,primate haplorrhinien,cercopithecide cercopithecine,mandrillus,leucophaeus,mandrillus leucophaeus,drill,,,Endangered
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide bovine,taurotragus,derbianus,taurotragus derbianus,eland de derby,,,Vulnerable
animal,chorde vertebre,mammifere placentaire,artiodactyle ruminant,bovide bovine,taurotragus,oryx,taurotragus oryx,eland commun,,,Least Concern
animal,chorde vertebre,oiseau,caprimulgiforme,caprimulgide,caprimulgus,europaeus,caprimulgus europaeus,engoulevent d'europe,,,Vulnerable
